session,sensors,lbound,rbound,type,use,other
1,2,10/27/2011 12:03:05,10/27/2011 12:04:35,puff,normal,ambiguity
1,2,10/27/2011 11:59:06,10/27/2011 12:00:36,puff,normal,ambiguity
1,3,10/27/2011 11:34:47,10/27/2011 11:36:17,puff,normal,ambiguity
1,3,10/27/2011 11:54:34,10/27/2011 11:56:04,puff,normal,ambiguity
1,3,10/27/2011 12:47:25,10/27/2011 12:48:55,puff,normal,
2,3,11/30/2011 12:34:24,11/30/2011 12:35:54,puff,orientation,
2,3,11/30/2011 13:46:10,11/30/2011 13:47:40,puff,orientation,
2,3,11/30/2011 14:10:07,11/30/2011 14:11:37,puff,orientation,ambiguity
2,3,11/30/2011 13:45:22,11/30/2011 13:46:52,puff,orientation,ambiguity
2,3,11/30/2011 13:37:27,11/30/2011 13:38:57,puff,orientation,ambiguity
2,2,11/30/2011 13:32:29,11/30/2011 13:33:59,puff,orientation amplitude,ambiguity
3,3,12/14/2011 12:06:17,12/14/2011 12:07:47,puff,normal,
3,3,12/14/2011 12:45:08,12/14/2011 12:46:38,puff,length,
3,3,12/14/2011 12:26:05,12/14/2011 12:27:35,puff,normal,
3,3,12/14/2011 12:44:02,12/14/2011 12:45:32,puff,normal,superposition
3,3,12/14/2011 12:27:26,12/14/2011 12:28:56,puff,normal,ambiguity
4,3,2/8/2012 12:19:47,2/8/2012 12:21:17,puff,normal,superposition
4,2,2/8/2012 11:33:24,2/8/2012 11:34:54,puff,orientation,ambiguity
4,2,2/8/2012 11:37:23,2/8/2012 11:38:53,puff,orientation,
4,2,2/8/2012 12:05:07,2/8/2012 12:06:37,puff,orientation,
4,2,2/8/2012 12:08:12,2/8/2012 12:09:42,puff,orientation,noise
5,3,5/3/2012 12:29:07,5/3/2012 12:30:37,puff,orientation,
5,3,5/3/2012 12:30:58,5/3/2012 12:32:28,puff,orientation,noise
5,2,5/3/2012 12:24:48,5/3/2012 12:26:18,puff,length,
5,2,5/3/2012 11:13:09,5/3/2012 11:14:39,puff,length amplitude,noise
5,2,5/3/2012 11:18:21,5/3/2012 11:19:51,puff,length amplitude,"noise, ambiguity"
6,3,8/16/2012 12:16:40,8/16/2012 12:18:10,puff,unclear,ambiguity
6,3,8/16/2012 12:13:53,8/16/2012 12:15:23,puff,length amplitude,ambiguity superposition
6,2,8/16/2012 11:31:06,8/16/2012 11:32:36,puff,unclear length amplitude,noise ambiguity
6,2,8/16/2012 11:28:03,8/16/2012 11:29:33,puff,length amplitude,
6,2,8/16/2012 11:50:15,8/16/2012 11:51:45,puff,orientation length amplitude,superposition
7,2,11/6/2012 12:49:53,11/6/2012 12:51:23,puff,normal,noise
7,2,11/6/2012 11:34:51,11/6/2012 11:36:21,puff,orientation,noise
7,2,11/6/2012 11:36:10,11/6/2012 11:37:40,puff,normal,unclear
