session,number of puffs,smoking duration,Puff frequency
1,24,10.8833333333,2.2052067381
1,28,17.1,1.6374269006
1,22,22.8666666667,0.9620991254
1,13,12.95,1.0038610039
1,12,6.3,1.9047619048
2,10,2.4666666667,4.0540540541
2,7,3.1666666667,2.2105263158
2,18,5.6666666667,3.1764705882
2,10,6.0166666667,1.6620498615
2,18,7.35,2.4489795918
2,19,10.4833333333,1.8124006359
2,27,16.0833333333,1.6787564767
3,11,10.5833333333,1.0393700787
3,13,7.9166666667,1.6421052632
3,28,13.7666666667,2.0338983051
4,9,8.4333333333,1.0671936759
4,13,8.0666666667,1.6115702479
4,17,6.45,2.6356589147
4,10,4.4166666667,2.2641509434
4,6,3.6166666667,1.6589861751
5,11,6.2833333333,1.75066313
5,11,8.6166666667,1.2765957447
5,6,5.7666666667,1.0404624277
5,9,8.3,1.0843373494
5,12,6.4166666667,1.8701298701
5,8,6.5166666667,1.2276214834
6,10,6.7166666667,1.4888337469
6,8,6.0166666667,1.3296398892
6,11,8.1333333333,1.3524590164
6,7,3.9333333333,1.7796610169
7,28,14.4833333333,1.9332566168
7,7,3.6666666667,1.9090909091
7,9,7.85,1.1464968153
7,12,9.4,1.2765957447
